rank	rating	title	year	votes	url
1	9.2	The Shawshank Redemption 	1994	952,354	/title/tt0111161/
2	9.2	The Godfather 	1972	680,272	/title/tt0068646/
3	9.0	The Godfather: Part II 	1974	438,997	/title/tt0071562/
4	8.9	Pulp Fiction 	1994	741,677	/title/tt0110912/
5	8.9	The Good, the Bad and the Ugly 	1966	289,535	/title/tt0060196/
6	8.9	12 Angry Men 	1957	234,349	/title/tt0050083/
7	8.9	The Dark Knight 	2008	927,150	/title/tt0468569/
8	8.9	Schindler's List 	1993	489,082	/title/tt0108052/
9	8.8	The Lord of the Rings: The Return of the King 	2003	680,633	/title/tt0167260/
10	8.8	Fight Club 	1999	725,430	/title/tt0137523/
11	8.8	Star Wars: Episode V - The Empire Strikes Back 	1980	467,371	/title/tt0080684/
12	8.8	The Lord of the Rings: The Fellowship of the Ring 	2001	705,637	/title/tt0120737/
13	8.8	One Flew Over the Cuckoo's Nest 	1975	398,283	/title/tt0073486/
14	8.7	Inception 	2010	742,942	/title/tt1375666/
15	8.7	Goodfellas 	1990	415,884	/title/tt0099685/
16	8.7	Star Wars 	1977	523,792	/title/tt0076759/
17	8.7	Seven Samurai 	1954	147,924	/title/tt0047478/
18	8.7	Forrest Gump 	1994	625,978	/title/tt0109830/
19	8.7	The Matrix 	1999	687,483	/title/tt0133093/
20	8.7	The Lord of the Rings: The Two Towers 	2002	611,174	/title/tt0167261/
21	8.7	City of God 	2002	312,663	/title/tt0317248/
22	8.6	Se7en 	1995	554,521	/title/tt0114369/
23	8.6	The Silence of the Lambs 	1991	465,298	/title/tt0102926/
24	8.6	Once Upon a Time in the West 	1968	130,966	/title/tt0064116/
25	8.6	Casablanca 	1942	254,616	/title/tt0034583/
26	8.6	The Usual Suspects 	1995	434,941	/title/tt0114814/
27	8.6	Raiders of the Lost Ark 	1981	397,405	/title/tt0082971/
28	8.6	Rear Window 	1954	192,014	/title/tt0047396/
29	8.6	It's a Wonderful Life 	1946	164,426	/title/tt0038650/
