id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion
1	20,000 Leagues Under the Sea	1954	3	2	Richard Fleischer	127 minutes	Earl Felton	Walt Disney (uncredited)	Kirk Douglas,James Mason,Paul Lukas,Peter Lorre	Paul Smith	Franz Planer	Elmo Williams	Buena Vista Distribution	December 23, 1954 (1954-12-23)	Jules Verne (novel)	Walt Disney Productions	United States	English	$4.3 million (estimated; nearly $9M with print and advertising)	$11,267,000[1]	/wiki/20,000_Leagues_Under_the_Sea_(1954_film)	20000leaguesunderthesea1954film								
2	2001: A Space Odyssey	1968	4	1	Stanley Kubrick	161 minutes (Premiere)[1],142 minutes (Theatrical)[1]	Stanley Kubrick,Arthur C. Clarke	Stanley Kubrick	Keir Dullea,Gary Lockwood,William Sylvester,Douglas Rain		Geoffrey Unsworth	Ray Lovejoy	MGM (original),Warner Bros. (current)	April 2, 1968 (1968-04-02) (Premiere),April 4, 1968 (1968-04-04) (Theatrical)		MGM	United States,United Kingdom	English,Russian	$10.5 million	$190 million	/wiki/2001:_A_Space_Odyssey_(film)	2001aspaceodyssey				N				
3	7th Heaven	1927/28	5	3	Frank Borzage	110 min		William Fox	Janet Gaynor,Charles Farrell,Ben Bard		Ernest Palmer,Joseph A. Valentine	H.H. Caldwell,Katherine Hilliker	Fox Film Corporation	May 6, 1927			USA	Silent film,English intertitles		$1.75 million[1]	/wiki/Seventh_Heaven_(1927_film)	seventhheaven1927film	N			W				
4	8 Mile	2002	1	1	Curtis Hanson	110 minutes[1]		Curtis Hanson,Brian Grazer,Jimmy Iovine	Eminem,Kim Basinger,Brittany Murphy,Mekhi Phifer,Taryn Manning	Eminem	Rodrigo Prieto	Jay Rabinowitz	Universal Pictures	November 8, 2002 (2002-11-08)		Imagine Entertainment	United States	English	$41 million[2]	$242,875,078[2]	/wiki/8_Mile_(film)	8mile								
5	The Abyss	1989	4	1	James Cameron	139 minutes,171 minutes (Special Edition)		Gale Anne Hurd	Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,J.C. Quinn,Leo Burmester	Alan Silvestri	Mikael Salomon	Conrad Buff,Joel Goodman	20th Century Fox	August 9, 1989 (1989-08-09)		Lightstorm Entertainment	United States	English	$70 million[1]	$90,000,098	/wiki/The_Abyss	theabyss			N					
6	The Accidental Tourist	1988	4	1	Lawrence Kasdan	121 minutes	Frank Galati,Lawrence Kasdan		William Hurt,Kathleen Turner,Geena Davis,Amy Wright,Bill Pullman,David Ogden Stiers,Ed Begley, Jr.	John Williams	John Bailey	Carol Littleton	Warner Bros.	December 23, 1988 (1988-12-23)			United States	English		$32,632,093 (United States)	/wiki/The_Accidental_Tourist_(film)	theaccidentaltourist	N							
7	The Accountant	2001	1	1	Ray McKinnon	35 minutes		Lisa Blount,Walton Goggins	Ray McKinnon,Walton Goggins		Blake B. Jackson	Joan Sobel		2001 (2001)			United States	English			/wiki/The_Accountant_(2001_film)	theaccountant2001film								
8	The Accused	1988	1	1	Jonathan Kaplan	111 minutes		Stanley R. Jaffe,Sherry Lansing	Kelly McGillis,Jodie Foster	Brad Fiedel	Ralf D. Bode	O. Nicholas Brown,Gerard B. Greenberg	Paramount Pictures	October 14, 1988 (1988-10-14)			Canada	English	$6 million	$32,078,318 (USA)	/wiki/The_Accused_(1988_film)	theaccused1988film								
9	Adaptation.	2002	4	1	Spike Jonze	114 minutes	Charlie Kaufman	Jonathan Demme,Vincent Landay,Edward Saxon	Nicolas Cage,Meryl Streep,Chris Cooper,Cara Seymour,Tilda Swinton,Brian Cox	Carter Burwell	Lance Acord	Eric Zumbrunnen	Columbia Pictures	December 6, 2002 (2002-12-06)		Good Machine,Intermedia,Propaganda Films,Saturn Films	United States	English	$19 million	$32,801,173	/wiki/Adaptation_(film)	adaptation		N						
10	Adventures of Don Juan	1949	2	1	Vincent Sherman	110 minutes		Jerry Wald	Errol Flynn,Viveca Lindfors	Max Steiner	Elwood Bredell	Alan Crosland	Warner Bros.	December 1, 1948 (1948-12-01)			United States	English,Spanish	$3.5 million [1]	$5 million [1]	/wiki/Adventures_of_Don_Juan	adventuresofdonjuan								
11	The Adventures of Priscilla, Queen of the Desert	1994	1	1	Stephan Elliott	103 minutes		Michael Hamlyn,Al Clark	Terence Stamp,Hugo Weaving,Guy Pearce,Bill Hunter	Guy Gross	Brian J. Breheny	Sue Blainey	Gramercy Pictures	10 August 1994 (1994-08-10) (United States),8 September 1994 (1994-09-08) (Australia)		PolyGram Filmed Entertainment,Specific Films	Australia	English,Filipino	A$1,884,200 (US$2 million)	$29,679,915	/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert	theadventuresofpriscillaqueenofthedesert								
12	The Adventures of Robin Hood	1938	4	3	Michael Curtiz,William Keighley	102 minutes	Norman Reilly Raine,Seton I. Miller	Hal B. Wallis,Henry Blanke	Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains	Erich Wolfgang Korngold	Tony Gaudio,Sol Polito	Ralph Dawson	Warner Bros. Pictures	May 14, 1938 (1938-05-14) (USA)		Warner Bros. Pictures	United States	English	$2.033 million[1]	$3.981 million[1]	/wiki/The_Adventures_of_Robin_Hood_(film)	theadventuresofrobinhood	N							
13	Affliction	1998	2	1	Paul Schrader	114 minutes	Paul Schrader	Linda Reisman	Nick Nolte,Sissy Spacek,James Coburn,Willem Dafoe	Michael Brook	Paul Sarossy	Jay Rabinowitz	Lionsgate Films	December 30, 1998 (1998-12-30)		Kingsgate Films,Largo Entertainment	United States	English	$6 million[1]	$6,330,054[1]	/wiki/Affliction_(film)	affliction		N						
14	The African Queen	1951	4	1	John Huston	105 minutes	John Huston,James Agee	Sam Spiegel,John Woolf (uncredited)	Humphrey Bogart,Katharine Hepburn,Robert Morley	Allan Gray	Jack Cardiff	Ralph Kemplen	United Artists (US),Independent Film Distributors (UK)	February 20, 1952 (1952-02-20)		Horizon Pictures,Romulus Films Ltd[1]	United States,United Kingdom	English		$10,750,000[2]	/wiki/The_African_Queen_(film)	theafricanqueen		W		N				
15	The Age of Innocence	1993	5	1	Martin Scorsese	139 minutes	Jay Cocks,Martin Scorsese	Barbara De Fina,Bruce S. Pustin	Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder	Elmer Bernstein	Michael Ballhaus	Thelma Schoonmaker	Columbia Pictures	October 1, 1993 (1993-10-01)			United States	English	$30 million[1]	$32,255,440 (US)	/wiki/The_Age_of_Innocence_(1993_film)	theageofinnocence1993film								
16	Air Force	1943	4	1	Howard Hawks	124 minutes		Hal B. Wallis,Jack Warner (executive producer)	John Garfield,John Ridgely,Gig Young,Harry Carey	Leo F. Forbstein	James Wong Howe	George Amy	Warner Bros.	February 3, 1943 (1943-02-03)			United States	English	$3,000,000 (1942)[1]		/wiki/Air_Force_(film)	airforce			N					
